;precision;recall;f1-score;support
art;0,2857142857142857;0,28;0,2828282828282828;100,0
gaming;0,34444444444444444;0,34065934065934067;0,3425414364640884;91,0
memberships;0,34408602150537637;0,31683168316831684;0,3298969072164949;101,0
music;0,5217391304347826;0,5106382978723404;0,5161290322580645;94,0
pfps;0,2916666666666667;0,28;0,2857142857142857;100,0
photography;0,39603960396039606;0,40816326530612246;0,4020100502512563;98,0
virtual-worlds;0,30275229357798167;0,3473684210526316;0,3235294117647059;95,0
accuracy;0,35346097201767307;0,35346097201767307;0,35346097201767307;0,35346097201767307
macro avg;0,3552060637577048;0,3548087154369646;0,35466420092816836;679,0
weighted avg;0,3541267381347265;0,35346097201767307;0,3534514333959987;679,0
