;precision;recall;f1-score;support
art;0,297029702970297;0,3;0,29850746268656714;100,0
gaming;0,34951456310679613;0,3956043956043956;0,3711340206185567;91,0
memberships;0,29591836734693877;0,2871287128712871;0,2914572864321608;101,0
music;0,5151515151515151;0,5425531914893617;0,5284974093264249;94,0
pfps;0,30097087378640774;0,31;0,3054187192118227;100,0
photography;0,47126436781609193;0,41836734693877553;0,4432432432432432;98,0
virtual-worlds;0,26136363636363635;0,24210526315789474;0,25136612021857924;95,0
accuracy;0,3549337260677467;0,3549337260677467;0,3549337260677467;0,3549337260677467
macro avg;0,3558875752202404;0,3565369871516735;0,3556606088196221;679,0
weighted avg;0,3548325978574295;0,3549337260677467;0,35434370505311147;679,0
