;precision;recall;f1-score;support
art;0,25252525252525254;0,25;0,25125628140703515;100,0
gaming;0,35714285714285715;0,38461538461538464;0,3703703703703704;91,0
memberships;0,3090909090909091;0,33663366336633666;0,3222748815165877;101,0
music;0,5517241379310345;0,5106382978723404;0,5303867403314917;94,0
pfps;0,30851063829787234;0,29;0,29896907216494845;100,0
photography;0,4639175257731959;0,45918367346938777;0,4615384615384615;98,0
virtual-worlds;0,24468085106382978;0,24210526315789474;0,24338624338624337;95,0
accuracy;0,35198821796759944;0,35198821796759944;0,35198821796759944;0,35198821796759944
macro avg;0,35537031026070737;0,35331089749733485;0,35402600724501976;679,0
weighted avg;0,35403893702923206;0,35198821796759944;0,35270223569617076;679,0
