;precision;recall;f1-score;support
art;0,2803738317757009;0,3;0,2898550724637681;100,0
gaming;0,2549019607843137;0,2857142857142857;0,26943005181347146;91,0
memberships;0,24175824175824176;0,21782178217821782;0,22916666666666669;101,0
music;0,45121951219512196;0,39361702127659576;0,42045454545454547;94,0
pfps;0,17582417582417584;0,16;0,16753926701570682;100,0
photography;0,40404040404040403;0,40816326530612246;0,40609137055837563;98,0
virtual-worlds;0,29906542056074764;0,3368421052631579;0,3168316831683168;95,0
accuracy;0,29896907216494845;0,29896907216494845;0,29896907216494845;0,29896907216494845
macro avg;0,3010262209912437;0,3003083513911971;0,2999098081629787;679,0
weighted avg;0,29993412415981546;0,29896907216494845;0,29870705962407207;679,0
