;precision;recall;f1-score;support
art;0,27927927927927926;0,31;0,2938388625592417;100,0
gaming;0,3176470588235294;0,2967032967032967;0,30681818181818177;91,0
memberships;0,3333333333333333;0,3069306930693069;0,31958762886597936;101,0
music;0,5638297872340425;0,5638297872340425;0,5638297872340425;94,0
pfps;0,26548672566371684;0,3;0,28169014084507044;100,0
photography;0,4326923076923077;0,45918367346938777;0,44554455445544555;98,0
virtual-worlds;0,25316455696202533;0,21052631578947367;0,22988505747126436;95,0
accuracy;0,3490427098674521;0,3490427098674521;0,3490427098674521;0,3490427098674521
macro avg;0,3493475784268906;0,3495962523236439;0,3487420304641752;679,0
weighted avg;0,3483116768470486;0,3490427098674521;0,347944259495955;679,0
