;precision;recall;f1-score;support
art;0,2972972972972973;0,33;0,3127962085308057;100,0
gaming;0,36;0,2967032967032967;0,32530120481927716;91,0
memberships;0,3076923076923077;0,2376237623762376;0,2681564245810056;101,0
music;0,5591397849462365;0,5531914893617021;0,5561497326203209;94,0
pfps;0,30833333333333335;0,37;0,33636363636363636;100,0
photography;0,4351851851851852;0,47959183673469385;0,4563106796116505;98,0
virtual-worlds;0,2978723404255319;0,29473684210526313;0,2962962962962962;95,0
accuracy;0,36524300441826213;0,36524300441826213;0,36524300441826213;0,36524300441826213
macro avg;0,36650289269712744;0,3659781753258847;0,3644820261175704;679,0
weighted avg;0,3651033084145892;0,36524300441826213;0,3633974412769957;679,0
