;precision;recall;f1-score;support
art;0,24731182795698925;0,23;0,2383419689119171;100,0
gaming;0,3424657534246575;0,27472527472527475;0,3048780487804878;91,0
memberships;0,2767857142857143;0,3069306930693069;0,2910798122065728;101,0
music;0,4845360824742268;0,5;0,4921465968586387;94,0
pfps;0,2962962962962963;0,32;0,30769230769230765;100,0
photography;0,46808510638297873;0,4489795918367347;0,4583333333333333;98,0
virtual-worlds;0,3431372549019608;0,3684210526315789;0,3553299492385787;95,0
accuracy;0,3490427098674521;0,3490427098674521;0,3490427098674521;0,3490427098674521
macro avg;0,3512311479604034;0,3498652303232707;0,3496860024316909;679,0
weighted avg;0,34977514657382186;0,3490427098674521;0,3485731709592848;679,0
