;precision;recall;f1-score;support
art;0,3008849557522124;0,34;0,3192488262910798;100,0
gaming;0,3068181818181818;0,2967032967032967;0,3016759776536313;91,0
memberships;0,3229166666666667;0,3069306930693069;0,3147208121827411;101,0
music;0,3877551020408163;0,40425531914893614;0,39583333333333326;94,0
pfps;0,2765957446808511;0,26;0,268041237113402;100,0
photography;0,45555555555555555;0,41836734693877553;0,4361702127659574;98,0
virtual-worlds;0,37;0,3894736842105263;0,37948717948717947;95,0
accuracy;0,3446244477172312;0,3446244477172312;0,3446244477172312;0,3446244477172312
macro avg;0,34578945807346917;0,34510433429583454;0,34502536840390347;679,0
weighted avg;0,3453998997914218;0,3446244477172312;0,3445841216098154;679,0
