;precision;recall;f1-score;support
art;0,23684210526315788;0,27;0,2523364485981308;100,0
gaming;0,345679012345679;0,3076923076923077;0,32558139534883723;91,0
memberships;0,28888888888888886;0,25742574257425743;0,27225130890052357;101,0
music;0,38235294117647056;0,4148936170212766;0,39795918367346933;94,0
pfps;0,24761904761904763;0,26;0,25365853658536586;100,0
photography;0,45;0,45918367346938777;0,45454545454545453;98,0
virtual-worlds;0,39080459770114945;0,35789473684210527;0,3736263736263737;95,0
accuracy;0,33136966126656847;0,33136966126656847;0,33136966126656847;0,33136966126656847
macro avg;0,3345980847134848;0,3324414396570478;0,33285124303973646;679,0
weighted avg;0,3332080949067048;0,33136966126656847;0,33162431664110886;679,0
