;precision;recall;f1-score;support
art;0,23853211009174313;0,26;0,2488038277511962;100,0
gaming;0,28125;0,2967032967032967;0,28877005347593576;91,0
memberships;0,33035714285714285;0,36633663366336633;0,3474178403755868;101,0
music;0,40594059405940597;0,43617021276595747;0,4205128205128205;94,0
pfps;0,24074074074074073;0,26;0,25;100,0
photography;0,40540540540540543;0,30612244897959184;0,3488372093023256;98,0
virtual-worlds;0,34177215189873417;0,28421052631578947;0,31034482758620685;95,0
accuracy;0,31516936671575846;0,31516936671575846;0,31516936671575846;0,31516936671575846
macro avg;0,32057116357902465;0,31564901691828595;0,31638379700058167;679,0
weighted avg;0,31994640134538066;0,31516936671575846;0,315824255935032;679,0
