;precision;recall;f1-score;support
art;0,32075471698113206;0,34;0,3300970873786408;100,0
gaming;0,3548387096774194;0,3626373626373626;0,3586956521739131;91,0
memberships;0,25263157894736843;0,2376237623762376;0,24489795918367346;101,0
music;0,5106382978723404;0,5106382978723404;0,5106382978723404;94,0
pfps;0,24719101123595505;0,22;0,2328042328042328;100,0
photography;0,4418604651162791;0,3877551020408163;0,4130434782608695;98,0
virtual-worlds;0,25;0,30526315789473685;0,2748815165876777;95,0
accuracy;0,33578792341678937;0,33578792341678937;0,33578792341678937;0,33578792341678937
macro avg;0,33970211140435635;0,33770252611735624;0,33786546060876393;679,0
weighted avg;0,3382224012627886;0,33578792341678937;0,3361680930619427;679,0
