;precision;recall;f1-score;support
art;0,26229508196721313;0,32;0,2882882882882883;100,0
gaming;0,32954545454545453;0,31868131868131866;0,324022346368715;91,0
memberships;0,25806451612903225;0,2376237623762376;0,24742268041237114;101,0
music;0,4943820224719101;0,46808510638297873;0,4808743169398907;94,0
pfps;0,27;0,27;0,27;100,0
photography;0,4158415841584158;0,42857142857142855;0,4221105527638191;98,0
virtual-worlds;0,29069767441860467;0,2631578947368421;0,27624309392265195;95,0
accuracy;0,3284241531664212;0,3284241531664212;0,3284241531664212;0,3284241531664212
macro avg;0,3315466190986615;0,32944564439268653;0,32985161124224804;679,0
weighted avg;0,3300785347850393;0,3284241531664212;0,32859597489821396;679,0
