;precision;recall;f1-score;support
art;0,22105263157894736;0,21;0,2153846153846154;100,0
gaming;0,2909090909090909;0,3516483516483517;0,31840796019900497;91,0
memberships;0,3;0,26732673267326734;0,2827225130890052;101,0
music;0,52;0,5531914893617021;0,536082474226804;94,0
pfps;0,3058823529411765;0,26;0,2810810810810811;100,0
photography;0,4421052631578947;0,42857142857142855;0,43523316062176165;98,0
virtual-worlds;0,27884615384615385;0,30526315789473685;0,29145728643216084;95,0
accuracy;0,33726067746686306;0,33726067746686306;0,33726067746686306;0,33726067746686306
macro avg;0,3369707846333233;0,33942873716421235;0,33719558443349046;679,0
weighted avg;0,33602787353401764;0,33726067746686306;0,3356549519528367;679,0
