;precision;recall;f1-score;support
art;0,29591836734693877;0,29;0,2929292929292929;100,0
gaming;0,3010752688172043;0,3076923076923077;0,3043478260869566;91,0
memberships;0,23300970873786409;0,2376237623762376;0,23529411764705882;101,0
music;0,4838709677419355;0,4787234042553192;0,4812834224598931;94,0
pfps;0,31868131868131866;0,29;0,3036649214659686;100,0
photography;0,4421052631578947;0,42857142857142855;0,43523316062176165;98,0
virtual-worlds;0,3113207547169811;0,3473684210526316;0,3283582089552239;95,0
accuracy;0,3387334315169367;0,3387334315169367;0,3387334315169367;0,3387334315169367
macro avg;0,34085452131430527;0,339997046278275;0,34015870716659363;679,0
weighted avg;0,33987843461420386;0,3387334315169367;0,3390387346078071;679,0
