;precision;recall;f1-score;support
art;0,3103448275862069;0,27;0,2887700534759359;100,0
gaming;0,30526315789473685;0,31868131868131866;0,31182795698924726;91,0
memberships;0,2653061224489796;0,25742574257425743;0,26130653266331655;101,0
music;0,422680412371134;0,43617021276595747;0,4293193717277487;94,0
pfps;0,21875;0,21;0,2142857142857143;100,0
photography;0,38461538461538464;0,40816326530612246;0,39603960396039606;98,0
virtual-worlds;0,3137254901960784;0,3368421052631579;0,32487309644670054;95,0
accuracy;0,3181148748159057;0,3181148748159057;0,3181148748159057;0,3181148748159057
macro avg;0,31724077073036006;0,31961180637011627;0,3180603327927228;679,0
weighted avg;0,3162187577587782;0,3181148748159057;0,3167963578117014;679,0
