;precision;recall;f1-score;support
art;0,4095238095238095;0,43;0,41951219512195115;100,0
gaming;0,5934065934065934;0,5934065934065934;0,5934065934065934;91,0
memberships;0,4473684210526316;0,504950495049505;0,4744186046511628;101,0
music;0,7931034482758621;0,7340425531914894;0,7624309392265194;94,0
pfps;0,4725274725274725;0,43;0,45026178010471196;100,0
photography;0,7333333333333333;0,673469387755102;0,702127659574468;98,0
virtual-worlds;0,504950495049505;0,5368421052631579;0,5204081632653061;95,0
accuracy;0,5552282768777614;0,5552282768777614;0,5552282768777614;0,5552282768777614
macro avg;0,5648876533098869;0,5575301620951211;0,560366562192959;679,0
weighted avg;0,5622651348538213;0,5552282768777614;0,5578931826630759;679,0
