;precision;recall;f1-score;support
art;0,4424778761061947;0,5;0,4694835680751174;100,0
gaming;0,6222222222222222;0,6153846153846154;0,6187845303867403;91,0
memberships;0,5327102803738317;0,5643564356435643;0,548076923076923;101,0
music;0,7912087912087912;0,7659574468085106;0,7783783783783782;94,0
pfps;0,5425531914893617;0,51;0,5257731958762887;100,0
photography;0,8;0,7346938775510204;0,7659574468085106;98,0
virtual-worlds;0,5319148936170213;0,5263157894736842;0,5291005291005292;95,0
accuracy;0,6008836524300442;0,6008836524300442;0,6008836524300442;0,6008836524300442
macro avg;0,609012465002489;0,6023868806944849;0,6050792245289267;679,0
weighted avg;0,6071201893472433;0,6008836524300442;0,6033678726221724;679,0
