;precision;recall;f1-score;support
art;0,41818181818181815;0,46;0,43809523809523804;100,0
gaming;0,627906976744186;0,5934065934065934;0,6101694915254238;91,0
memberships;0,48672566371681414;0,5445544554455446;0,514018691588785;101,0
music;0,813953488372093;0,7446808510638298;0,7777777777777778;94,0
pfps;0,5104166666666666;0,49;0,4999999999999999;100,0
photography;0,7395833333333334;0,7244897959183674;0,731958762886598;98,0
virtual-worlds;0,5652173913043478;0,5473684210526316;0,5561497326203209;95,0
accuracy;0,5846833578792342;0,5846833578792342;0,5846833578792342;0,5846833578792342
macro avg;0,5945693340456085;0,5863571595552811;0,5897385277848777;679,0
weighted avg;0,5918190311509929;0,5846833578792342;0,5875230189421691;679,0
