;precision;recall;f1-score;support
art;0,4056603773584906;0,43;0,41747572815533984;100,0
gaming;0,5851063829787234;0,6043956043956044;0,5945945945945946;91,0
memberships;0,46296296296296297;0,49504950495049505;0,47846889952153104;101,0
music;0,813953488372093;0,7446808510638298;0,7777777777777778;94,0
pfps;0,45918367346938777;0,45;0,45454545454545453;100,0
photography;0,7142857142857143;0,6632653061224489;0,6878306878306879;98,0
virtual-worlds;0,53125;0,5368421052631579;0,5340314136125656;95,0
accuracy;0,5581737849779087;0,5581737849779087;0,5581737849779087;0,5581737849779087
macro avg;0,5674860856324817;0,5606047673993623;0,563532079433993;679,0
weighted avg;0,5647551150222204;0,5581737849779087;0,5609530015339831;679,0
