;precision;recall;f1-score;support
art;0,4326923076923077;0,45;0,44117647058823534;100,0
gaming;0,5714285714285714;0,5714285714285714;0,5714285714285714;91,0
memberships;0,5130434782608696;0,5841584158415841;0,5462962962962964;101,0
music;0,7640449438202247;0,723404255319149;0,7431693989071038;94,0
pfps;0,4787234042553192;0,45;0,4639175257731959;100,0
photography;0,7252747252747253;0,673469387755102;0,6984126984126984;98,0
virtual-worlds;0,5263157894736842;0,5263157894736842;0,5263157894736842;95,0
accuracy;0,5670103092783505;0,5670103092783505;0,5670103092783505;0,5670103092783505
macro avg;0,5730747457436717;0,5683966314025845;0,5701023929828264;679,0
weighted avg;0,5712166572829672;0,5670103092783505;0,5684649388862758;679,0
