;precision;recall;f1-score;support
art;0,4424778761061947;0,5;0,4694835680751174;100,0
gaming;0,6222222222222222;0,6153846153846154;0,6187845303867403;91,0
memberships;0,5321100917431193;0,5742574257425742;0,5523809523809524;101,0
music;0,8089887640449438;0,7659574468085106;0,7868852459016393;94,0
pfps;0,5425531914893617;0,51;0,5257731958762887;100,0
photography;0,7912087912087912;0,7346938775510204;0,7619047619047619;98,0
virtual-worlds;0,5376344086021505;0,5263157894736842;0,5319148936170213;95,0
accuracy;0,6023564064801178;0,6023564064801178;0,6023564064801178;0,6023564064801178
macro avg;0,6110279064881119;0,6038013078514863;0,6067324497346459;679,0
weighted avg;0,6090237443648358;0,6023564064801178;0,6049946090218674;679,0
