;precision;recall;f1-score;support
art;0,5048543689320388;0,52;0,5123152709359606;100,0
gaming;0,4666666666666667;0,46153846153846156;0,4640883977900553;91,0
memberships;0,49107142857142855;0,5445544554455446;0,516431924882629;101,0
music;0,8172043010752689;0,8085106382978723;0,8128342245989305;94,0
pfps;0,4803921568627451;0,49;0,4851485148514851;100,0
photography;0,7934782608695652;0,7448979591836735;0,7684210526315789;98,0
virtual-worlds;0,6781609195402298;0,6210526315789474;0,6483516483516483;95,0
accuracy;0,5979381443298969;0,5979381443298969;0,5979381443298969;0,5979381443298969
macro avg;0,6045468717882775;0,5986505922920714;0,6010844334346126;679,0
weighted avg;0,6032295946310365;0,5979381443298969;0,6000635258532929;679,0
