;precision;recall;f1-score;support
art;0,5;0,52;0,5098039215686274;100,0
gaming;0,5212765957446809;0,5384615384615384;0,5297297297297296;91,0
memberships;0,4818181818181818;0,5247524752475248;0,5023696682464455;101,0
music;0,8409090909090909;0,7872340425531915;0,8131868131868133;94,0
pfps;0,4215686274509804;0,43;0,42574257425742573;100,0
photography;0,7931034482758621;0,7040816326530612;0,7459459459459459;98,0
virtual-worlds;0,6382978723404256;0,631578947368421;0,6349206349206349;95,0
accuracy;0,5891016200294551;0,5891016200294551;0,5891016200294551;0,5891016200294551
macro avg;0,5995676880770316;0,5908726623262481;0,5945284696936604;679,0
weighted avg;0,5974441232258172;0,5891016200294551;0,59257601611285;679,0
