;precision;recall;f1-score;support
art;0,5612244897959183;0,55;0,5555555555555555;100,0
gaming;0,5604395604395604;0,5604395604395604;0,5604395604395604;91,0
memberships;0,4956521739130435;0,5643564356435643;0,5277777777777778;101,0
music;0,8202247191011236;0,776595744680851;0,7978142076502731;94,0
pfps;0,49504950495049505;0,5;0,4975124378109453;100,0
photography;0,7692307692307693;0,7142857142857143;0,7407407407407408;98,0
virtual-worlds;0,6595744680851063;0,6526315789473685;0,6560846560846562;95,0
accuracy;0,6156111929307806;0,6156111929307806;0,6156111929307806;0,6156111929307806
macro avg;0,623056526502288;0,6169012905710084;0,6194178480085013;679,0
weighted avg;0,6212571170663694;0,6156111929307806;0,6178608620500239;679,0
