;precision;recall;f1-score;support
art;0,4424778761061947;0,5;0,4694835680751174;100,0
gaming;0,6222222222222222;0,6153846153846154;0,6187845303867403;91,0
memberships;0,5370370370370371;0,5742574257425742;0,5550239234449761;101,0
music;0,8;0,7659574468085106;0,7826086956521738;94,0
pfps;0,5425531914893617;0,51;0,5257731958762887;100,0
photography;0,7912087912087912;0,7346938775510204;0,7619047619047619;98,0
virtual-worlds;0,5376344086021505;0,5263157894736842;0,5319148936170213;95,0
accuracy;0,6023564064801178;0,6023564064801178;0,6023564064801178;0,6023564064801178
macro avg;0,6104476466665367;0,6038013078514863;0,6064990812795826;679,0
weighted avg;0,608512223973762;0,6023564064801178;0,60479570527226;679,0
