;precision;recall;f1-score;support
art;0,3783783783783784;0,42;0,3981042654028436;100,0
gaming;0,6883116883116883;0,5824175824175825;0,630952380952381;91,0
memberships;0,4824561403508772;0,5445544554455446;0,5116279069767442;101,0
music;0,8117647058823529;0,7340425531914894;0,7709497206703911;94,0
pfps;0,47474747474747475;0,47;0,4723618090452262;100,0
photography;0,7127659574468085;0,6836734693877551;0,6979166666666665;98,0
virtual-worlds;0,5656565656565656;0,5894736842105263;0,5773195876288659;95,0
accuracy;0,572901325478645;0,572901325478645;0,572901325478645;0,572901325478645
macro avg;0,5877258443963065;0,5748802492361282;0,5798903339061597;679,0
weighted avg;0,5840520457208979;0,572901325478645;0,5770959655629119;679,0
