;precision;recall;f1-score;support
art;0,5145631067961165;0,53;0,5221674876847291;100,0
gaming;0,4772727272727273;0,46153846153846156;0,46927374301675984;91,0
memberships;0,5;0,5445544554455446;0,5213270142180095;101,0
music;0,8105263157894737;0,8191489361702128;0,8148148148148148;94,0
pfps;0,4857142857142857;0,51;0,4975609756097561;100,0
photography;0,8021978021978022;0,7448979591836735;0,7724867724867726;98,0
virtual-worlds;0,6781609195402298;0,6210526315789474;0,6483516483516483;95,0
accuracy;0,6038291605301914;0,6038291605301914;0,6038291605301914;0,6038291605301914
macro avg;0,6097764510443764;0,6044560634166913;0,6065689223117844;679,0
weighted avg;0,6085268086727179;0,6038291605301914;0,6056266395724529;679,0
