;precision;recall;f1-score;support
art;0,5483870967741935;0,51;0,5284974093264249;100,0
gaming;0,5612244897959183;0,6043956043956044;0,582010582010582;91,0
memberships;0,5833333333333334;0,6237623762376238;0,6028708133971292;101,0
music;0,8021978021978022;0,776595744680851;0,7891891891891892;94,0
pfps;0,5157894736842106;0,49;0,5025641025641027;100,0
photography;0,7551020408163265;0,7551020408163265;0,7551020408163265;98,0
virtual-worlds;0,6770833333333334;0,6842105263157895;0,6806282722513088;95,0
accuracy;0,6332842415316642;0,6332842415316642;0,6332842415316642;0,6332842415316642
macro avg;0,6347310814193026;0,6348666132065992;0,6344089156507234;679,0
weighted avg;0,6334834497160466;0,6332842415316642;0,6329934255563827;679,0
