;precision;recall;f1-score;support
art;0,5247524752475248;0,53;0,527363184079602;100,0
gaming;0,4778761061946903;0,5934065934065934;0,5294117647058825;91,0
memberships;0,5578947368421052;0,5247524752475248;0,5408163265306122;101,0
music;0,8372093023255814;0,7659574468085106;0,8;94,0
pfps;0,4421052631578947;0,42;0,4307692307692308;100,0
photography;0,7395833333333334;0,7244897959183674;0,731958762886598;98,0
virtual-worlds;0,6559139784946236;0,6421052631578947;0,6489361702127658;95,0
accuracy;0,5979381443298969;0,5979381443298969;0,5979381443298969;0,5979381443298969
macro avg;0,6050478850851077;0,6001016535055559;0,601322205597813;679,0
weighted avg;0,6038417333837585;0,5979381443298969;0,599695222364963;679,0
