;precision;recall;f1-score;support
art;0,494949494949495;0,49;0,4924623115577889;100,0
gaming;0,5106382978723404;0,5274725274725275;0,5189189189189188;91,0
memberships;0,5188679245283019;0,5445544554455446;0,5314009661835749;101,0
music;0,7916666666666666;0,8085106382978723;0,7999999999999999;94,0
pfps;0,4326923076923077;0,45;0,44117647058823534;100,0
photography;0,8452380952380952;0,7244897959183674;0,7802197802197802;98,0
virtual-worlds;0,59375;0,6;0,5968586387434555;95,0
accuracy;0,5905743740795287;0,5905743740795287;0,5905743740795287;0,5905743740795287
macro avg;0,5982575409924582;0,5921467738763303;0,5944338694588219;679,0
weighted avg;0,5968986388040083;0,5905743740795287;0,5929603925816375;679,0
