;precision;recall;f1-score;support
art;0,44761904761904764;0,47;0,45853658536585373;100,0
gaming;0,5909090909090909;0,5714285714285714;0,5810055865921787;91,0
memberships;0,47368421052631576;0,5346534653465347;0,5023255813953488;101,0
music;0,8023255813953488;0,7340425531914894;0,7666666666666667;94,0
pfps;0,5052631578947369;0,48;0,4923076923076923;100,0
photography;0,7666666666666667;0,7040816326530612;0,7340425531914894;98,0
virtual-worlds;0,5247524752475248;0,5578947368421052;0,5408163265306122;95,0
accuracy;0,5773195876288659;0,5773195876288659;0,5773195876288659;0,5773195876288659
macro avg;0,5873171757512472;0,5788715656373947;0,5822429988642631;679,0
weighted avg;0,5851347219738948;0,5773195876288659;0,5803699672577524;679,0
