;precision;recall;f1-score;support
art;0,4107142857142857;0,46;0,43396226415094336;100,0
gaming;0,6333333333333333;0,6263736263736264;0,6298342541436464;91,0
memberships;0,49122807017543857;0,5544554455445545;0,5209302325581396;101,0
music;0,8095238095238095;0,723404255319149;0,7640449438202246;94,0
pfps;0,5;0,46;0,4791666666666667;100,0
photography;0,7582417582417582;0,7040816326530612;0,7301587301587302;98,0
virtual-worlds;0,5625;0,5684210526315789;0,5654450261780105;95,0
accuracy;0,5832106038291606;0,5832106038291606;0,5832106038291606;0,5832106038291606
macro avg;0,5950773224269464;0,5852480017888528;0,5890774453823374;679,0
weighted avg;0,5922816309210776;0,5832106038291606;0,5866492215887666;679,0
