;precision;recall;f1-score;support
art;0,5348837209302325;0,46;0,4946236559139785;100,0
gaming;0,5636363636363636;0,6813186813186813;0,6169154228855721;91,0
memberships;0,49107142857142855;0,5445544554455446;0,516431924882629;101,0
music;0,8275862068965517;0,7659574468085106;0,7955801104972374;94,0
pfps;0,5333333333333333;0,48;0,505263157894737;100,0
photography;0,7156862745098039;0,7448979591836735;0,7300000000000001;98,0
virtual-worlds;0,5869565217391305;0,5684210526315789;0,5775401069518717;95,0
accuracy;0,6038291605301914;0,6038291605301914;0,6038291605301914;0,6038291605301914
macro avg;0,6075934070881207;0,6064499421982842;0,6051934827180036;679,0
weighted avg;0,605894045240698;0,6038291605301914;0,6030610453958355;679,0
