;precision;recall;f1-score;support
art;0,4948453608247423;0,48;0,4873096446700507;100,0
gaming;0,6666666666666666;0,6593406593406593;0,6629834254143646;91,0
memberships;0,4796747967479675;0,5841584158415841;0,5267857142857143;101,0
music;0,8313253012048193;0,7340425531914894;0,7796610169491526;94,0
pfps;0,5222222222222223;0,47;0,49473684210526314;100,0
photography;0,6972477064220184;0,7755102040816326;0,7342995169082126;98,0
virtual-worlds;0,6091954022988506;0,5578947368421052;0,5824175824175823;95,0
accuracy;0,6067746686303387;0,6067746686303387;0,6067746686303387;0,6067746686303387
macro avg;0,614453922341041;0,6087066527567815;0,6097419632500486;679,0
weighted avg;0,6114418206243144;0,6067746686303387;0,6072469162194274;679,0
