;precision;recall;f1-score;support
art;0,5058823529411764;0,43;0,46486486486486484;100,0
gaming;0,5;0,5274725274725275;0,5133689839572193;91,0
memberships;0,472;0,5841584158415841;0,5221238938053097;101,0
music;0,8571428571428571;0,7021276595744681;0,7719298245614036;94,0
pfps;0,48148148148148145;0,52;0,5;100,0
photography;0,7395833333333334;0,7244897959183674;0,731958762886598;98,0
virtual-worlds;0,5869565217391305;0,5684210526315789;0,5775401069518717;95,0
accuracy;0,5787923416789397;0,5787923416789397;0,5787923416789397;0,5787923416789397
macro avg;0,5918637923768542;0,5795242073483609;0,5831123481467524;679,0
weighted avg;0,5901617794485691;0,5787923416789397;0,5818810747172549;679,0
