;precision;recall;f1-score;support
art;0,5232558139534884;0,45;0,48387096774193555;100,0
gaming;0,5161290322580645;0,5274725274725275;0,5217391304347827;91,0
memberships;0,5299145299145299;0,6138613861386139;0,5688073394495412;101,0
music;0,7912087912087912;0,7659574468085106;0,7783783783783782;94,0
pfps;0,5346534653465347;0,54;0,5373134328358209;100,0
photography;0,7473684210526316;0,7244897959183674;0,7357512953367875;98,0
virtual-worlds;0,5520833333333334;0,5578947368421052;0,5549738219895287;95,0
accuracy;0,5964653902798233;0,5964653902798233;0,5964653902798233;0,5964653902798233
macro avg;0,5992304838667676;0,5970965561685893;0,5972620523095392;679,0
weighted avg;0,5984443088222454;0,5964653902798233;0,5965242265262481;679,0
