;precision;recall;f1-score;support
art;0,5853658536585366;0,48;0,5274725274725274;100,0
gaming;0,5517241379310345;0,5274725274725275;0,5393258426966292;91,0
memberships;0,496;0,6138613861386139;0,5486725663716814;101,0
music;0,8764044943820225;0,8297872340425532;0,8524590163934426;94,0
pfps;0,5145631067961165;0,53;0,5221674876847291;100,0
photography;0,7628865979381443;0,7551020408163265;0,7589743589743589;98,0
virtual-worlds;0,6041666666666666;0,6105263157894737;0,6073298429319371;95,0
accuracy;0,6200294550810015;0,6200294550810015;0,6200294550810015;0,6200294550810015
macro avg;0,6273015510532173;0,6209642148942135;0,6223430917893295;679,0
weighted avg;0,6256797275410471;0,6200294550810015;0,6210096497844823;679,0
