;precision;recall;f1-score;support
art;0,5529411764705883;0,47;0,508108108108108;100,0
gaming;0,5656565656565656;0,6153846153846154;0,5894736842105263;91,0
memberships;0,5169491525423728;0,6039603960396039;0,5570776255707761;101,0
music;0,8202247191011236;0,776595744680851;0,7978142076502731;94,0
pfps;0,46017699115044247;0,52;0,48826291079812206;100,0
photography;0,7368421052631579;0,7142857142857143;0,7253886010362695;98,0
virtual-worlds;0,625;0,5263157894736842;0,5714285714285714;95,0
accuracy;0,6023564064801178;0,6023564064801178;0,6023564064801178;0,6023564064801178
macro avg;0,6111129585977501;0,6037917514092098;0,6053648155432352;679,0
weighted avg;0,6092563748967972;0,6023564064801178;0,6037001178833927;679,0
