;precision;recall;f1-score;support
art;0,4946236559139785;0,46;0,4766839378238342;100,0
gaming;0,49514563106796117;0,5604395604395604;0,5257731958762887;91,0
memberships;0,5526315789473685;0,6237623762376238;0,586046511627907;101,0
music;0,8333333333333334;0,7978723404255319;0,8152173913043479;94,0
pfps;0,5;0,51;0,504950495049505;100,0
photography;0,7070707070707071;0,7142857142857143;0,7106598984771574;98,0
virtual-worlds;0,6666666666666666;0,5473684210526316;0,6011560693641619;95,0
accuracy;0,6008836524300442;0,6008836524300442;0,6008836524300442;0,6008836524300442
macro avg;0,6070673675714308;0,6019612017772945;0,6029267856461716;679,0
weighted avg;0,6057378548628314;0,6008836524300442;0,6017443788062744;679,0
