;precision;recall;f1-score;support
art;0,5531914893617021;0,52;0,536082474226804;100,0
gaming;0,5789473684210527;0,6043956043956044;0,5913978494623656;91,0
memberships;0,5333333333333333;0,5544554455445545;0,5436893203883496;101,0
music;0,7934782608695652;0,776595744680851;0,7849462365591399;94,0
pfps;0,46788990825688076;0,51;0,48803827751196166;100,0
photography;0,7368421052631579;0,7142857142857143;0,7253886010362695;98,0
virtual-worlds;0,5955056179775281;0,5578947368421052;0,5760869565217391;95,0
accuracy;0,6038291605301914;0,6038291605301914;0,6038291605301914;0,6038291605301914
macro avg;0,6084554404976029;0,6053753208212613;0,6065185308152328;679,0
weighted avg;0,606818164212422;0,6038291605301914;0,6049236978525094;679,0
