;precision;recall;f1-score;support
art;0,5747126436781609;0,5;0,5347593582887701;100,0
gaming;0,5405405405405406;0,6593406593406593;0,5940594059405939;91,0
memberships;0,512;0,6336633663366337;0,5663716814159292;101,0
music;0,7872340425531915;0,7872340425531915;0,7872340425531915;94,0
pfps;0,5733333333333334;0,43;0,49142857142857144;100,0
photography;0,7184466019417476;0,7551020408163265;0,736318407960199;98,0
virtual-worlds;0,6071428571428571;0,5368421052631579;0,5698324022346368;95,0
accuracy;0,6126656848306333;0,6126656848306333;0,6126656848306333;0,6126656848306333
macro avg;0,616201431312833;0,6145974591871385;0,6114291242602702;679,0
weighted avg;0,615305044637999;0,6126656848306333;0,6099779395106436;679,0
