;precision;recall;f1-score;support
art;0,5324675324675324;0,41;0,46327683615819204;100,0
gaming;0,5728155339805825;0,6483516483516484;0,6082474226804123;91,0
memberships;0,543859649122807;0,6138613861386139;0,5767441860465117;101,0
music;0,8604651162790697;0,7872340425531915;0,8222222222222222;94,0
pfps;0,4392523364485981;0,47;0,45410628019323673;100,0
photography;0,72;0,7346938775510204;0,7272727272727272;98,0
virtual-worlds;0,5543478260869565;0,5368421052631579;0,5454545454545455;95,0
accuracy;0,5979381443298969;0,5979381443298969;0,5979381443298969;0,5979381443298969
macro avg;0,6033154277693639;0,600140437122519;0,599617745718264;679,0
weighted avg;0,601376714953966;0,5979381443298969;0,5975254607799059;679,0
