;precision;recall;f1-score;support
art;0,573170731707317;0,47;0,5164835164835165;100,0
gaming;0,5238095238095238;0,6043956043956044;0,5612244897959183;91,0
memberships;0,5333333333333333;0,6336633663366337;0,579185520361991;101,0
music;0,8641975308641975;0,7446808510638298;0,8;94,0
pfps;0,45614035087719296;0,52;0,48598130841121495;100,0
photography;0,7311827956989247;0,6938775510204082;0,7120418848167539;98,0
virtual-worlds;0,6547619047619048;0,5789473684210527;0,6145251396648046;95,0
accuracy;0,605301914580265;0,605301914580265;0,605301914580265;0,605301914580265
macro avg;0,6195137387217706;0,6065092487482183;0,6099202656477427;679,0
weighted avg;0,6179047193282687;0,605301914580265;0,6085060995547291;679,0
