;precision;recall;f1-score;support
art;0,5542168674698795;0,46;0,5027322404371585;100,0
gaming;0,5360824742268041;0,5714285714285714;0,553191489361702;91,0
memberships;0,46774193548387094;0,5742574257425742;0,5155555555555555;101,0
music;0,7956989247311828;0,7872340425531915;0,7914438502673796;94,0
pfps;0,45918367346938777;0,45;0,45454545454545453;100,0
photography;0,6990291262135923;0,7346938775510204;0,7164179104477613;98,0
virtual-worlds;0,6049382716049383;0,5157894736842106;0,5568181818181818;95,0
accuracy;0,5832106038291606;0,5832106038291606;0,5832106038291606;0,5832106038291606
macro avg;0,5881273247428079;0,584771912994224;0,5843863832047419;679,0
weighted avg;0,5863552044603377;0,5832106038291606;0,5826829316097626;679,0
