;precision;recall;f1-score;support
art;0,5176470588235295;0,44;0,47567567567567565;100,0
gaming;0,5393258426966292;0,5274725274725275;0,5333333333333333;91,0
memberships;0,45112781954887216;0,594059405940594;0,5128205128205128;101,0
music;0,8604651162790697;0,7872340425531915;0,8222222222222222;94,0
pfps;0,5416666666666666;0,52;0,5306122448979592;100,0
photography;0,7263157894736842;0,7040816326530612;0,7150259067357513;98,0
virtual-worlds;0,6421052631578947;0,6421052631578947;0,6421052631578947;95,0
accuracy;0,6008836524300442;0,6008836524300442;0,6008836524300442;0,6008836524300442
macro avg;0,6112362223780494;0,6021361245396097;0,6045421655490498;679,0
weighted avg;0,609184981307073;0,6008836524300442;0,6028253680921372;679,0
