;precision;recall;f1-score;support
art;0,5168539325842697;0,46;0,4867724867724868;100,0
gaming;0,5569620253164557;0,4835164835164835;0,5176470588235295;91,0
memberships;0,5193798449612403;0,6633663366336634;0,5826086956521739;101,0
music;0,8426966292134831;0,7978723404255319;0,8196721311475411;94,0
pfps;0,5473684210526316;0,52;0,5333333333333334;100,0
photography;0,7009345794392523;0,7653061224489796;0,7317073170731707;98,0
virtual-worlds;0,6593406593406593;0,631578947368421;0,6451612903225805;95,0
accuracy;0,6170839469808542;0,6170839469808542;0,6170839469808542;0,6170839469808542
macro avg;0,620505155986856;0,6173771757704399;0,6167003304464023;679,0
weighted avg;0,6187121923078788;0,6170839469808542;0,6156211525862703;679,0
