;precision;recall;f1-score;support
art;0,5340909090909091;0,47;0,5;100,0
gaming;0,6382978723404256;0,6593406593406593;0,6486486486486486;91,0
memberships;0,5086206896551724;0,5841584158415841;0,543778801843318;101,0
music;0,8452380952380952;0,7553191489361702;0,797752808988764;94,0
pfps;0,5098039215686274;0,52;0,5148514851485149;100,0
photography;0,6880733944954128;0,7653061224489796;0,7246376811594203;98,0
virtual-worlds;0,6046511627906976;0,5473684210526316;0,574585635359116;95,0
accuracy;0,6126656848306333;0,6126656848306333;0,6126656848306333;0,6126656848306333
macro avg;0,6183965778827628;0,6144989668028608;0,6148935801639689;679,0
weighted avg;0,6158626114611966;0,6126656848306333;0,6126991556490967;679,0
