;precision;recall;f1-score;support
art;0,49411764705882355;0,42;0,4540540540540541;100,0
gaming;0,47115384615384615;0,5384615384615384;0,5025641025641026;91,0
memberships;0,52;0,6435643564356436;0,5752212389380531;101,0
music;0,7849462365591398;0,776595744680851;0,7807486631016043;94,0
pfps;0,42168674698795183;0,35;0,3825136612021858;100,0
photography;0,71;0,7244897959183674;0,7171717171717172;98,0
virtual-worlds;0,5842696629213483;0,5473684210526316;0,5652173913043478;95,0
accuracy;0,5699558173784978;0,5699558173784978;0,5699558173784978;0,5699558173784978
macro avg;0,5694534485258729;0,5714971223641474;0,5682129754765807;679,0
weighted avg;0,5682562645342631;0,5699558173784978;0,5667986815611087;679,0
