;precision;recall;f1-score;support
art;0,5308641975308642;0,43;0,47513812154696133;100,0
gaming;0,5918367346938775;0,6373626373626373;0,6137566137566137;91,0
memberships;0,5087719298245614;0,5742574257425742;0,5395348837209303;101,0
music;0,8222222222222222;0,7872340425531915;0,8043478260869565;94,0
pfps;0,47;0,47;0,47;100,0
photography;0,7083333333333334;0,6938775510204082;0,7010309278350516;98,0
virtual-worlds;0,59;0,6210526315789474;0,6051282051282052;95,0
accuracy;0,5994108983799705;0,5994108983799705;0,5994108983799705;0,5994108983799705
macro avg;0,6031469168006941;0,6019691840368226;0,6012766540106741;679,0
weighted avg;0,601008958877858;0,5994108983799705;0,5989036720611935;679,0
