;precision;recall;f1-score;support
art;0,5119047619047619;0,43;0,4673913043478261;100,0
gaming;0,5585585585585585;0,6813186813186813;0,6138613861386139;91,0
memberships;0,5267857142857143;0,5841584158415841;0,5539906103286385;101,0
music;0,8352941176470589;0,7553191489361702;0,7932960893854748;94,0
pfps;0,5454545454545454;0,54;0,542713567839196;100,0
photography;0,7474747474747475;0,7551020408163265;0,7512690355329948;98,0
virtual-worlds;0,6179775280898876;0,5789473684210527;0,5978260869565217;95,0
accuracy;0,6156111929307806;0,6156111929307806;0,6156111929307806;0,6156111929307806
macro avg;0,6204928533450392;0,6178350936191165;0,6171925829327523;679,0
weighted avg;0,6189221711156183;0,6156111929307806;0,6153352005093464;679,0
