;precision;recall;f1-score;support
art;0,6164383561643836;0,45;0,5202312138728323;100,0
gaming;0,5833333333333334;0,6153846153846154;0,5989304812834224;91,0
memberships;0,5158730158730159;0,6435643564356436;0,5726872246696035;101,0
music;0,813953488372093;0,7446808510638298;0,7777777777777778;94,0
pfps;0,5145631067961165;0,53;0,5221674876847291;100,0
photography;0,7211538461538461;0,7653061224489796;0,7425742574257426;98,0
virtual-worlds;0,6043956043956044;0,5789473684210527;0,5913978494623656;95,0
accuracy;0,6170839469808542;0,6170839469808542;0,6170839469808542;0,6170839469808542
macro avg;0,6242443930126276;0,6182690448220173;0,6179666131680677;679,0
weighted avg;0,6228114012963093;0,6170839469808542;0,6165686858349575;679,0
