;precision;recall;f1-score;support
art;0,5421686746987951;0,45;0,4918032786885245;100,0
gaming;0,5283018867924528;0,6153846153846154;0,5685279187817259;91,0
memberships;0,4453125;0,5643564356435643;0,49781659388646277;101,0
music;0,7604166666666666;0,776595744680851;0,7684210526315789;94,0
pfps;0,46153846153846156;0,3;0,3636363636363637;100,0
photography;0,6915887850467289;0,7551020408163265;0,721951219512195;98,0
virtual-worlds;0,574468085106383;0,5684210526315789;0,5714285714285715;95,0
accuracy;0,572901325478645;0,572901325478645;0,572901325478645;0,572901325478645
macro avg;0,5719707228356412;0,5756942698795623;0,5690835712236317;679,0
weighted avg;0,5703270743861434;0,572901325478645;0,5667569861110994;679,0
