;precision;recall;f1-score;support
art;0,5609756097560976;0,46;0,5054945054945056;100,0
gaming;0,5555555555555556;0,6593406593406593;0,6030150753768844;91,0
memberships;0,5042016806722689;0,594059405940594;0,5454545454545453;101,0
music;0,7934782608695652;0,776595744680851;0,7849462365591399;94,0
pfps;0,4777777777777778;0,43;0,45263157894736844;100,0
photography;0,7029702970297029;0,7244897959183674;0,7135678391959799;98,0
virtual-worlds;0,5747126436781609;0,5263157894736842;0,5494505494505495;95,0
accuracy;0,593519882179676;0,593519882179676;0,593519882179676;0,593519882179676
macro avg;0,5956674036198757;0,5958287707648795;0,5935086186398533;679,0
weighted avg;0,5941546551353719;0,593519882179676;0,5915909956847722;679,0
