;precision;recall;f1-score;support
art;0,5584415584415584;0,43;0,48587570621468923;100,0
gaming;0,5185185185185185;0,6153846153846154;0,5628140703517587;91,0
memberships;0,5221238938053098;0,5841584158415841;0,5514018691588786;101,0
music;0,7684210526315789;0,776595744680851;0,7724867724867724;94,0
pfps;0,4946236559139785;0,46;0,4766839378238342;100,0
photography;0,72;0,7346938775510204;0,7272727272727272;98,0
virtual-worlds;0,6129032258064516;0,6;0,6063829787234043;95,0
accuracy;0,5979381443298969;0,5979381443298969;0,5979381443298969;0,5979381443298969
macro avg;0,599290272159628;0,6001189504940101;0,5975597231474378;679,0
weighted avg;0,5982969150133379;0,5979381443298969;0,5959594999353702;679,0
