;precision;recall;f1-score;support
art;0,618421052631579;0,47;0,5340909090909091;100,0
gaming;0,4915254237288136;0,6373626373626373;0,5550239234449761;91,0
memberships;0,5181818181818182;0,5643564356435643;0,5402843601895735;101,0
music;0,7894736842105263;0,7978723404255319;0,7936507936507936;94,0
pfps;0,5384615384615384;0,56;0,5490196078431373;100,0
photography;0,7446808510638298;0,7142857142857143;0,7291666666666666;98,0
virtual-worlds;0,5853658536585366;0,5052631578947369;0,5423728813559322;95,0
accuracy;0,605301914580265;0,605301914580265;0,605301914580265;0,605301914580265
macro avg;0,6123014602766631;0,6070200408017408;0,6062298774631412;679,0
weighted avg;0,6120065421540548;0,605301914580265;0,6052634473805094;679,0
