;precision;recall;f1-score;support
art;0,5652173913043478;0,52;0,5416666666666667;100,0
gaming;0,6705882352941176;0,6263736263736264;0,6477272727272727;91,0
memberships;0,48175182481751827;0,6534653465346535;0,5546218487394958;101,0
music;0,9024390243902439;0,7872340425531915;0,8409090909090909;94,0
pfps;0,5396825396825397;0,68;0,6017699115044247;100,0
photography;0,8658536585365854;0,7244897959183674;0,788888888888889;98,0
virtual-worlds;0,7866666666666666;0,6210526315789474;0,6941176470588235;95,0
accuracy;0,658321060382916;0,658321060382916;0,658321060382916;0,658321060382916
macro avg;0,6874570486702886;0,6589450632798266;0,6671001894992378;679,0
weighted avg;0,6842219690421567;0,658321060382916;0,6650977739103593;679,0
