;precision;recall;f1-score;support
art;0,5353535353535354;0,53;0,5326633165829145;100,0
gaming;0,6835443037974683;0,5934065934065934;0,6352941176470589;91,0
memberships;0,5409836065573771;0,6534653465346535;0,5919282511210763;101,0
music;0,918918918918919;0,723404255319149;0,8095238095238095;94,0
pfps;0,53125;0,68;0,5964912280701754;100,0
photography;0,7888888888888889;0,7244897959183674;0,7553191489361704;98,0
virtual-worlds;0,632183908045977;0,5789473684210527;0,6043956043956045;95,0
accuracy;0,6406480117820325;0,6406480117820325;0,6406480117820325;0,6406480117820325
macro avg;0,6615890230803093;0,640530479942831;0,6465164966109729;679,0
weighted avg;0,6586880562548978;0,6406480117820325;0,6451341231855453;679,0
