;precision;recall;f1-score;support
art;0,5588235294117647;0,57;0,5643564356435642;100,0
gaming;0,6190476190476191;0,5714285714285714;0,5942857142857143;91,0
memberships;0,5075757575757576;0,6633663366336634;0,5751072961373391;101,0
music;0,9012345679012346;0,776595744680851;0,8342857142857142;94,0
pfps;0,5726495726495726;0,67;0,6175115207373272;100,0
photography;0,8902439024390244;0,7448979591836735;0,8111111111111111;98,0
virtual-worlds;0,7530864197530864;0,6421052631578947;0,6931818181818182;95,0
accuracy;0,6627393225331369;0,6627393225331369;0,6627393225331369;0,6627393225331369
macro avg;0,6860944812540085;0,6626276964406649;0,6699770871975126;679,0
weighted avg;0,6837245313002979;0,6627393225331369;0,6688021374182315;679,0
