;precision;recall;f1-score;support
art;0,5789473684210527;0,55;0,5641025641025641;100,0
gaming;0,6666666666666666;0,6153846153846154;0,64;91,0
memberships;0,5528455284552846;0,6732673267326733;0,6071428571428571;101,0
music;0,9240506329113924;0,776595744680851;0,8439306358381502;94,0
pfps;0,5702479338842975;0,69;0,6244343891402714;100,0
photography;0,8478260869565217;0,7959183673469388;0,8210526315789473;98,0
virtual-worlds;0,7294117647058823;0,6526315789473685;0,688888888888889;95,0
accuracy;0,678939617083947;0,678939617083947;0,678939617083947;0,678939617083947
macro avg;0,6957137117144425;0,6791139475846354;0,6842217095273828;679,0
weighted avg;0,6931744166916852;0,678939617083947;0,6828456642174957;679,0
