;precision;recall;f1-score;support
art;0,5757575757575758;0,57;0,5728643216080402;100,0
gaming;0,6097560975609756;0,5494505494505495;0,5780346820809249;91,0
memberships;0,5109489051094891;0,693069306930693;0,5882352941176471;101,0
music;0,9375;0,7978723404255319;0,8620689655172414;94,0
pfps;0,5338983050847458;0,63;0,5779816513761468;100,0
photography;0,9012345679012346;0,7448979591836735;0,8156424581005587;98,0
virtual-worlds;0,7560975609756098;0,6526315789473685;0,7005649717514124;95,0
accuracy;0,6627393225331369;0,6627393225331369;0,6627393225331369;0,6627393225331369
macro avg;0,6893132874842329;0,6625602478482595;0,670770334935996;679,0
weighted avg;0,6867960063701667;0,6627393225331369;0,6695414345250734;679,0
