;precision;recall;f1-score;support
art;0,5757575757575758;0,57;0,5728643216080402;100,0
gaming;0,6746987951807228;0,6153846153846154;0,6436781609195402;91,0
memberships;0,4863013698630137;0,7029702970297029;0,5748987854251012;101,0
music;0,9146341463414634;0,7978723404255319;0,8522727272727272;94,0
pfps;0,5603448275862069;0,65;0,6018518518518519;100,0
photography;0,9135802469135802;0,7551020408163265;0,8268156424581006;98,0
virtual-worlds;0,8055555555555556;0,6105263157894737;0,6946107784431138;95,0
accuracy;0,6715758468335787;0,6715758468335787;0,6715758468335787;0,6715758468335787
macro avg;0,7044103595997312;0,6716936584922358;0,6809988954254964;679,0
weighted avg;0,7012643899608169;0,6715758468335787;0,6792941098589523;679,0
