;precision;recall;f1-score;support
art;0,5591397849462365;0,52;0,5388601036269429;100,0
gaming;0,6785714285714286;0,6263736263736264;0,6514285714285715;91,0
memberships;0,4722222222222222;0,6732673267326733;0,5551020408163265;101,0
music;0,9024390243902439;0,7872340425531915;0,8409090909090909;94,0
pfps;0,5241935483870968;0,65;0,5803571428571428;100,0
photography;0,8875;0,7244897959183674;0,797752808988764;98,0
virtual-worlds;0,7916666666666666;0,6;0,6826347305389222;95,0
accuracy;0,6539027982326951;0,6539027982326951;0,6539027982326951;0,6539027982326951
macro avg;0,6879618107405564;0,6544806845111226;0,6638634984522515;679,0
weighted avg;0,6845219137022003;0,6539027982326951;0,6617710751081128;679,0
