;precision;recall;f1-score;support
art;0,49523809523809526;0,52;0,5073170731707317;100,0
gaming;0,651685393258427;0,6373626373626373;0,6444444444444444;91,0
memberships;0,4961832061068702;0,6435643564356436;0,560344827586207;101,0
music;0,9452054794520548;0,7340425531914894;0,8263473053892215;94,0
pfps;0,46923076923076923;0,61;0,5304347826086957;100,0
photography;0,8658536585365854;0,7244897959183674;0,788888888888889;98,0
virtual-worlds;0,6521739130434783;0,47368421052631576;0,5487804878048781;95,0
accuracy;0,6200294550810015;0,6200294550810015;0,6200294550810015;0,6200294550810015
macro avg;0,6536529306951829;0,6204490790620648;0,6295082585561526;679,0
weighted avg;0,650256636810613;0,6200294550810015;0,6275940526771067;679,0
