;precision;recall;f1-score;support
art;0,5625;0,54;0,5510204081632654;100,0
gaming;0,6470588235294118;0,6043956043956044;0,625;91,0
memberships;0,5564516129032258;0,6831683168316832;0,6133333333333334;101,0
music;0,925;0,7872340425531915;0,8505747126436781;94,0
pfps;0,5702479338842975;0,69;0,6244343891402714;100,0
photography;0,8651685393258427;0,7857142857142857;0,8235294117647058;98,0
virtual-worlds;0,7380952380952381;0,6526315789473685;0,6927374301675978;95,0
accuracy;0,6774668630338734;0,6774668630338734;0,6774668630338734;0,6774668630338734
macro avg;0,6949317353911451;0,6775919754917333;0,6829470978875503;679,0
weighted avg;0,6925100496403715;0,6774668630338734;0,681645224748732;679,0
